武器ID,武器名称,触发配件,动作,目标槽位
野牛冲锋枪,野牛冲锋枪,多用途战术增高架,add,增高座瞄具
野牛冲锋枪,野牛冲锋枪,微型瞄具增高架,add,增高座瞄具
野牛冲锋枪,野牛冲锋枪,QR高性能后托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,CT增强型后托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,影袭托芯枪托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,MRGS镂空枪托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,PT3死士枪托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,PT1特种枪托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,UR特种战术枪托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,影袭导轨枪托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,骨架狙击枪托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,AK19枪托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,枢机先进战斗枪托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,416稳固枪托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,416轻型枪托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,精英轻型枪托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,侵掠核心枪托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,枢机稳固枪托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,闪电导轨枪托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,AK枪托尾盖,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,AK骨架枪托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,实用轻型枪托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,实用战术枪托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,实用稳定枪托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,核心导轨枪托,disable,枪托垫
野牛冲锋枪,野牛冲锋枪,AK重塔握把,add,握把座
勇士冲锋枪,勇士冲锋枪,灵眼3/7弹道计算狙击镜,add,遮光罩
勇士冲锋枪,勇士冲锋枪,M157火控光学系统,add,遮光罩
勇士冲锋枪,勇士冲锋枪,LPVO多倍率战斗瞄具,add,遮光罩
勇士冲锋枪,勇士冲锋枪,3/7可调倍率狙击镜,add,遮光罩
勇士冲锋枪,勇士冲锋枪,3/7可调倍率狙击镜,add,上副瞄具
勇士冲锋枪,勇士冲锋枪,侦察1.5/5可调瞄准镜,add,遮光罩
勇士冲锋枪,勇士冲锋枪,MEO微型瞄具增高架,add,瞄准镜
勇士冲锋枪,勇士冲锋枪,多用途战术增高架,add,战术设备
勇士冲锋枪,勇士冲锋枪,多用途战术增高架,add,增高座瞄具
勇士冲锋枪,勇士冲锋枪,微型瞄具增高架,add,增高座瞄具
勇士冲锋枪,勇士冲锋枪,勇士海狸枪管,add,上导轨
勇士冲锋枪,勇士冲锋枪,勇士海狸枪管,add,左导轨
勇士冲锋枪,勇士冲锋枪,勇士海狸枪管,add,左贴片
勇士冲锋枪,勇士冲锋枪,勇士海狸枪管,add,右贴片
勇士冲锋枪,勇士冲锋枪,勇士战术枪管,add,左导轨
勇士冲锋枪,勇士冲锋枪,锚点导轨后托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,QR高性能后托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,CT增强型后托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,影袭托芯枪托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,MRGS镂空枪托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,PT3死士枪托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,PT1特种枪托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,UR特种战术枪托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,影袭导轨枪托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,骨架狙击枪托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,AK19枪托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,枢机先进战斗枪托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,416稳固枪托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,416轻型枪托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,精英轻型枪托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,侵掠核心枪托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,枢机稳固枪托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,闪电导轨枪托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,AK枪托尾盖,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,AK骨架枪托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,实用轻型枪托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,实用战术枪托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,实用稳定枪托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,核心导轨枪托,disable,枪托垫
勇士冲锋枪,勇士冲锋枪,AK重塔握把,add,握把座
勇士冲锋枪,勇士冲锋枪,勇士海狸枪管,add,前握把
勇士冲锋枪,勇士冲锋枪,勇士战术枪管,add,前握把
ak-12,AK-12突击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
ak-12,AK-12突击步枪,M157火控光学系统,add,遮光罩
ak-12,AK-12突击步枪,LPVO多倍率战斗瞄具,add,遮光罩
ak-12,AK-12突击步枪,3/7可调倍率狙击镜,add,遮光罩
ak-12,AK-12突击步枪,3/7可调倍率狙击镜,add,上副瞄具
ak-12,AK-12突击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
ak-12,AK-12突击步枪,MEO微型瞄具增高架,add,瞄准镜
ak-12,AK-12突击步枪,多用途战术增高架,add,战术设备
ak-12,AK-12突击步枪,多用途战术增高架,add,增高座瞄具
ak-12,AK-12突击步枪,微型瞄具增高架,add,增高座瞄具
ak-12,AK-12突击步枪,AK12精英脚架长枪管,add,左贴片
ak-12,AK-12突击步枪,AK12精英脚架长枪管,add,左导轨
ak-12,AK-12突击步枪,AK12精英脚架长枪管,add,上贴片
ak-12,AK-12突击步枪,AK12精英脚架长枪管,add,右贴片
ak-12,AK-12突击步枪,AK12前线长枪管,add,上贴片
ak-12,AK-12突击步枪,AK12前线长枪管,add,左导轨
ak-12,AK-12突击步枪,AK12前线长枪管,add,导轨脚架
ak-12,AK-12突击步枪,AK12前线长枪管,add,左贴片
ak-12,AK-12突击步枪,AK12前线长枪管,add,右贴片
ak-12,AK-12突击步枪,AK折叠枪托,add,枪托
ak-12,AK-12突击步枪,AK聚合物枪托,add,枪托
ak-12,AK-12突击步枪,AK重塔握把,add,握把座
ak-12,AK-12突击步枪,AKS-74U聚合物弹鼓75发,disable,弹匣座
ak-12,AK-12突击步枪,AK12精英脚架长枪管,add,前握把
ak-12,AK-12突击步枪,AK12前线长枪管,add,前握把
ak-12,AK-12突击步枪,AK12精英脚架长枪管,add,枪口
ak-12,AK-12突击步枪,AK12前线长枪管,add,枪口
akm,AKM突击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
akm,AKM突击步枪,M157火控光学系统,add,遮光罩
akm,AKM突击步枪,LPVO多倍率战斗瞄具,add,遮光罩
akm,AKM突击步枪,3/7可调倍率狙击镜,add,遮光罩
akm,AKM突击步枪,3/7可调倍率狙击镜,add,上副瞄具
akm,AKM突击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
akm,AKM突击步枪,MEO微型瞄具增高架,add,瞄准镜
akm,AKM突击步枪,多用途战术增高架,add,战术设备
akm,AKM突击步枪,多用途战术增高架,add,增高座瞄具
akm,AKM突击步枪,微型瞄具增高架,add,增高座瞄具
akm,AKM突击步枪,AKM性能枪管组合,disable,前握把
akm,AKM突击步枪,AKM海狸长枪管组合,add,上导轨
akm,AKM突击步枪,AKM海狸长枪管组合,add,左导轨
akm,AKM突击步枪,AKM海狸长枪管组合,add,导轨脚架
akm,AKM突击步枪,AKM海狸长枪管组合,add,右贴片
akm,AKM突击步枪,AKM海狸长枪管组合,add,右导轨
akm,AKM突击步枪,AKM海狸长枪管组合,add,左贴片
akm,AKM突击步枪,AKM海狸枪管组合,add,上导轨
akm,AKM突击步枪,AKM海狸枪管组合,add,左导轨
akm,AKM突击步枪,AKM海狸枪管组合,add,右导轨
akm,AKM突击步枪,AKM海狸枪管组合,add,左贴片
akm,AKM突击步枪,AKM海狸枪管组合,add,右贴片
akm,AKM突击步枪,AKM超然长枪管组合,add,上导轨
akm,AKM突击步枪,AKM超然长枪管组合,add,左导轨
akm,AKM突击步枪,AKM超然长枪管组合,add,导轨脚架
akm,AKM突击步枪,AKM超然长枪管组合,add,右导轨
akm,AKM突击步枪,AKM超然长枪管组合,add,左贴片
akm,AKM突击步枪,AKM超然长枪管组合,add,右贴片
akm,AKM突击步枪,AKM实用长枪管组合,add,左导轨
akm,AKM突击步枪,AKM实用长枪管组合,add,右导轨
akm,AKM突击步枪,AKM实用长枪管组合,add,导轨脚架
akm,AKM突击步枪,AKM实用长枪管组合,add,左贴片
akm,AKM突击步枪,AKM实用长枪管组合,add,右贴片
akm,AKM突击步枪,AKM实用标准枪管组合,add,右导轨
akm,AKM突击步枪,锚点导轨后托,disable,枪托垫
akm,AKM突击步枪,QR高性能后托,disable,枪托垫
akm,AKM突击步枪,CT增强型后托,disable,枪托垫
akm,AKM突击步枪,影袭托芯枪托,disable,枪托垫
akm,AKM突击步枪,MRGS镂空枪托,disable,枪托垫
akm,AKM突击步枪,PT3死士枪托,disable,枪托垫
akm,AKM突击步枪,PT1特种枪托,disable,枪托垫
akm,AKM突击步枪,UR特种战术枪托,disable,枪托垫
akm,AKM突击步枪,影袭导轨枪托,disable,枪托垫
akm,AKM突击步枪,骨架狙击枪托,disable,枪托垫
akm,AKM突击步枪,AK19枪托,disable,枪托垫
akm,AKM突击步枪,枢机先进战斗枪托,disable,枪托垫
akm,AKM突击步枪,416稳固枪托,disable,枪托垫
akm,AKM突击步枪,416轻型枪托,disable,枪托垫
akm,AKM突击步枪,精英轻型枪托,disable,枪托垫
akm,AKM突击步枪,侵掠核心枪托,disable,枪托垫
akm,AKM突击步枪,枢机稳固枪托,disable,枪托垫
akm,AKM突击步枪,闪电导轨枪托,disable,枪托垫
akm,AKM突击步枪,AK枪托尾盖,disable,枪托垫
akm,AKM突击步枪,AK骨架枪托,disable,枪托垫
akm,AKM突击步枪,实用轻型枪托,disable,枪托垫
akm,AKM突击步枪,实用战术枪托,disable,枪托垫
akm,AKM突击步枪,实用稳定枪托,disable,枪托垫
akm,AKM突击步枪,核心导轨枪托,disable,枪托垫
akm,AKM突击步枪,AK重塔握把,add,握把座
akm,AKM突击步枪,AKM大弹鼓70发,disable,弹匣座
akm,AKM突击步枪,AKM海狸长枪管组合,add,前握把
akm,AKM突击步枪,AKM海狸枪管组合,add,前握把
akm,AKM突击步枪,AKM超然长枪管组合,add,前握把
akm,AKM突击步枪,AKM实用长枪管组合,add,前握把
akm,AKM突击步枪,AKM实用标准枪管组合,add,前握把
aks-74u,AKS-74U突击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
aks-74u,AKS-74U突击步枪,M157火控光学系统,add,遮光罩
aks-74u,AKS-74U突击步枪,LPVO多倍率战斗瞄具,add,遮光罩
aks-74u,AKS-74U突击步枪,3/7可调倍率狙击镜,add,遮光罩
aks-74u,AKS-74U突击步枪,3/7可调倍率狙击镜,add,上副瞄具
aks-74u,AKS-74U突击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
aks-74u,AKS-74U突击步枪,MEO微型瞄具增高架,add,瞄准镜
aks-74u,AKS-74U突击步枪,多用途战术增高架,add,战术设备
aks-74u,AKS-74U突击步枪,多用途战术增高架,add,增高座瞄具
aks-74u,AKS-74U突击步枪,微型瞄具增高架,add,增高座瞄具
aks-74u,AKS-74U突击步枪,AKS74U导轨下护木,add,右导轨
aks-74u,AKS-74U突击步枪,AKS74U导轨下护木,add,左导轨
aks-74u,AKS-74U突击步枪,AKS74U导轨上护木,add,上导轨
aks-74u,AKS-74U突击步枪,锚点导轨后托,disable,枪托垫
aks-74u,AKS-74U突击步枪,QR高性能后托,disable,枪托垫
aks-74u,AKS-74U突击步枪,CT增强型后托,disable,枪托垫
aks-74u,AKS-74U突击步枪,影袭托芯枪托,disable,枪托垫
aks-74u,AKS-74U突击步枪,MRGS镂空枪托,disable,枪托垫
aks-74u,AKS-74U突击步枪,PT3死士枪托,disable,枪托垫
aks-74u,AKS-74U突击步枪,PT1特种枪托,disable,枪托垫
aks-74u,AKS-74U突击步枪,UR特种战术枪托,disable,枪托垫
aks-74u,AKS-74U突击步枪,影袭导轨枪托,disable,枪托垫
aks-74u,AKS-74U突击步枪,骨架狙击枪托,disable,枪托垫
aks-74u,AKS-74U突击步枪,AK19枪托,disable,枪托垫
aks-74u,AKS-74U突击步枪,枢机先进战斗枪托,disable,枪托垫
aks-74u,AKS-74U突击步枪,416稳固枪托,disable,枪托垫
aks-74u,AKS-74U突击步枪,416轻型枪托,disable,枪托垫
aks-74u,AKS-74U突击步枪,精英轻型枪托,disable,枪托垫
aks-74u,AKS-74U突击步枪,侵掠核心枪托,disable,枪托垫
aks-74u,AKS-74U突击步枪,枢机稳固枪托,disable,枪托垫
aks-74u,AKS-74U突击步枪,闪电导轨枪托,disable,枪托垫
aks-74u,AKS-74U突击步枪,AK枪托尾盖,disable,枪托垫
aks-74u,AKS-74U突击步枪,AK骨架枪托,disable,枪托垫
aks-74u,AKS-74U突击步枪,实用轻型枪托,disable,枪托垫
aks-74u,AKS-74U突击步枪,实用战术枪托,disable,枪托垫
aks-74u,AKS-74U突击步枪,实用稳定枪托,disable,枪托垫
aks-74u,AKS-74U突击步枪,核心导轨枪托,disable,枪托垫
aks-74u,AKS-74U突击步枪,AK重塔握把,add,握把座
aks-74u,AKS-74U突击步枪,AKS-74U聚合物弹鼓75发,disable,弹匣座
ar57,AR57突击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
ar57,AR57突击步枪,MEO微型瞄具增高架,add,瞄准镜
ar57,AR57突击步枪,微型瞄具增高架,add,增高座瞄具
ar57,AR57突击步枪,AR57激流超长枪管,add,上导轨
ar57,AR57突击步枪,模块化AR后握把,add,后握贴片
ar57,AR57突击步枪,AR重塔握把,add,握把座
ar57,AR57突击步枪,夜莺一体消音组合,disable,枪口
ar57,AR57突击步枪,共振二代一体枪托,disable,后握把
ar57,AR57突击步枪,禁区一体枪托,disable,后握把
ar57,AR57突击步枪,共振二代一体枪托,disable,枪托
ar57,AR57突击步枪,禁区一体枪托,disable,枪托
ash-12,ASh-12战斗步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
ash-12,ASh-12战斗步枪,M157火控光学系统,add,遮光罩
ash-12,ASh-12战斗步枪,LPVO多倍率战斗瞄具,add,遮光罩
ash-12,ASh-12战斗步枪,3/7可调倍率狙击镜,add,遮光罩
ash-12,ASh-12战斗步枪,3/7可调倍率狙击镜,add,上副瞄具
ash-12,ASh-12战斗步枪,侦察1.5/5可调瞄准镜,add,遮光罩
ash-12,ASh-12战斗步枪,MEO微型瞄具增高架,add,瞄准镜
ash-12,ASh-12战斗步枪,多用途战术增高架,add,战术设备
ash-12,ASh-12战斗步枪,多用途战术增高架,add,增高座瞄具
ash-12,ASh-12战斗步枪,微型瞄具增高架,add,增高座瞄具
ash-12,ASh-12战斗步枪,HVK双发套件,disable,枪口
ash-12,ASh-12战斗步枪,HVK双发套件,disable,枪托
asval,ASVal突击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
asval,ASVal突击步枪,M157火控光学系统,add,遮光罩
asval,ASVal突击步枪,LPVO多倍率战斗瞄具,add,遮光罩
asval,ASVal突击步枪,3/7可调倍率狙击镜,add,遮光罩
asval,ASVal突击步枪,3/7可调倍率狙击镜,add,上副瞄具
asval,ASVal突击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
asval,ASVal突击步枪,MEO微型瞄具增高架,add,瞄准镜
asval,ASVal突击步枪,多用途战术增高架,add,战术设备
asval,ASVal突击步枪,多用途战术增高架,add,增高座瞄具
asval,ASVal突击步枪,微型瞄具增高架,add,增高座瞄具
asval,ASVal突击步枪,ASVal刺客高级枪管,add,上导轨
asval,ASVal突击步枪,ASVal刺客高级枪管,add,导轨脚架
asval,ASVal突击步枪,VSS海啸长枪管组合,add,上导轨
asval,ASVal突击步枪,VSS海啸长枪管组合,add,导轨脚架
asval,ASVal突击步枪,AK重塔握把,add,握把座
asval,ASVal突击步枪,VSS精英一体枪托,disable,后握把
aug,AUG突击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
aug,AUG突击步枪,M157火控光学系统,add,遮光罩
aug,AUG突击步枪,LPVO多倍率战斗瞄具,add,遮光罩
aug,AUG突击步枪,3/7可调倍率狙击镜,add,遮光罩
aug,AUG突击步枪,3/7可调倍率狙击镜,add,上副瞄具
aug,AUG突击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
aug,AUG突击步枪,MEO微型瞄具增高架,add,瞄准镜
aug,AUG突击步枪,多用途战术增高架,add,战术设备
aug,AUG突击步枪,多用途战术增高架,add,增高座瞄具
aug,AUG突击步枪,微型瞄具增高架,add,增高座瞄具
aug,AUG突击步枪,AUG晨零一体消音管,disable,枪口
aug,AUG突击步枪,AUG晨零一体消音管,add,左导轨
aug,AUG突击步枪,AUG精英脚架长枪管,add,上导轨
aug,AUG突击步枪,AUG精英脚架长枪管,add,左导轨
aug,AUG突击步枪,AUG精英脚架长枪管,add,右贴片
aug,AUG突击步枪,AUG尖兵标准枪管,add,右贴片
aug,AUG突击步枪,AUG尖兵标准枪管,add,上导轨
aug,AUG突击步枪,AUG尖兵标准枪管,add,左导轨
aug,AUG突击步枪,AUG实用集成三倍镜枪管,disable,侧瞄具
aug,AUG突击步枪,AUG60发弹鼓,disable,弹匣座
awm,AWM狙击步枪,AWM穹顶套件,add,左导轨
awm,AWM狙击步枪,AWM穹顶套件,add,右导轨
awm,AWM狙击步枪,AWM穹顶套件,add,导轨脚架
awm,AWM狙击步枪,AWM穹顶套件,add,左贴片
awm,AWM狙击步枪,AWM穹顶套件,add,右贴片
awm,AWM狙击步枪,灵眼6/12弹道计算狙击镜,add,遮光罩
awm,AWM狙击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
awm,AWM狙击步枪,M157火控光学系统,add,遮光罩
awm,AWM狙击步枪,6/12神射手变倍狙击镜,add,遮光罩
awm,AWM狙击步枪,6/12神射手变倍狙击镜,add,上副瞄具
awm,AWM狙击步枪,LPVO多倍率战斗瞄具,add,遮光罩
awm,AWM狙击步枪,3/7可调倍率狙击镜,add,遮光罩
awm,AWM狙击步枪,3/7可调倍率狙击镜,add,上副瞄具
awm,AWM狙击步枪,光学狙击8倍瞄准镜,add,遮光罩
awm,AWM狙击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
awm,AWM狙击步枪,MEO微型瞄具增高架,add,瞄准镜
awm,AWM狙击步枪,多用途战术增高架,add,战术设备
awm,AWM狙击步枪,多用途战术增高架,add,增高座瞄具
awm,AWM狙击步枪,微型瞄具增高架,add,增高座瞄具
awm,AWM狙击步枪,M3狙击镜,add,遮光罩
car-15,CAR-15突击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
car-15,CAR-15突击步枪,M157火控光学系统,add,遮光罩
car-15,CAR-15突击步枪,LPVO多倍率战斗瞄具,add,遮光罩
car-15,CAR-15突击步枪,3/7可调倍率狙击镜,add,遮光罩
car-15,CAR-15突击步枪,3/7可调倍率狙击镜,add,上副瞄具
car-15,CAR-15突击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
car-15,CAR-15突击步枪,MEO微型瞄具增高架,add,瞄准镜
car-15,CAR-15突击步枪,多用途战术增高架,add,战术设备
car-15,CAR-15突击步枪,多用途战术增高架,add,增高座瞄具
car-15,CAR-15突击步枪,微型瞄具增高架,add,增高座瞄具
car-15,CAR-15突击步枪,AR特勤一体消音组合,disable,枪口
car-15,CAR-15突击步枪,AR特勤一体消音组合,disable,下导轨
car-15,CAR-15突击步枪,AR特勤一体消音组合,add,前握把
car-15,CAR-15突击步枪,AR特勤一体消音组合,add,上导轨
car-15,CAR-15突击步枪,AR特勤一体消音组合,add,导轨脚架
car-15,CAR-15突击步枪,AR特勤一体消音组合,add,上贴片
car-15,CAR-15突击步枪,AR特勤一体消音组合,add,左贴片
car-15,CAR-15突击步枪,AR特勤一体消音组合,add,左导轨
car-15,CAR-15突击步枪,AR特攻短枪管组合,disable,下导轨
car-15,CAR-15突击步枪,AR特攻短枪管组合,add,上导轨
car-15,CAR-15突击步枪,AR特攻短枪管组合,add,左导轨
car-15,CAR-15突击步枪,AR特攻短枪管组合,add,前握把
car-15,CAR-15突击步枪,AR战壕标准枪管组合,disable,下导轨
car-15,CAR-15突击步枪,AR战壕标准枪管组合,add,前握把
car-15,CAR-15突击步枪,AR战壕标准枪管组合,add,导轨脚架
car-15,CAR-15突击步枪,AR战壕标准枪管组合,add,上导轨
car-15,CAR-15突击步枪,AR战壕标准枪管组合,add,左导轨
car-15,CAR-15突击步枪,AR战壕标准枪管组合,add,上贴片
