ID,名称,类型,价值,配件数,配件槽数,基础伤害,优势射程,后坐力控制,操控速度,据枪稳定性,腰际射击精度,护甲伤害,射速,容量,枪口初速,枪声传播距离
m7,M７战斗步枪,步枪,257718,194,24,37,50,34,51,58,43,40,649,20,630,600
m82,M82狙击步枪,狙击步枪,221881,138,17,100,200,10,20,66,15,20,100,5,525,1000
m870,M870霰弹枪,霰弹枪,4748,124,16,17,12,26,57,41,49,16,74,6,400,500
mcxlt,MCXLT突击步枪,步枪,87901,223,23,34,30,44,61,52,57,26,840,30,450,500
mini-14,Mini-14射手步枪,精确射手步枪,38072,255,17,34,90,60,52,63,37,38,590,10,650,600
mk47,MK47突击步枪,步枪,188001,193,22,42,30,35,55,50,53,46,625,20,525,500
mk4,MK4冲锋枪,冲锋枪,81113,198,24,34,20,46,60,51,50,30,793,24,475,300
mp5,MP5冲锋枪,冲锋枪,49427,294,17,30,20,53,66,45,68,32,820,30,450,300
mp7,MP7冲锋枪,冲锋枪,223771,189,21,32,20,55,67,44,68,28,950,20,450,300
p90,P90冲锋枪,冲锋枪,87678,164,16,32,20,48,56,45,60,35,898,50,450,300
pkm,PKM通用机枪,轻机枪,87413,221,18,45,40,36,42,59,45,42,669,75,630,600
psg-1,PSG-1射手步枪,未知类型,109107,265,21,50,90,60,49,66,34,55,300,10,550,600
ptr-32,PTR-32突击步枪,步枪,44676,250,20,36,40,32,56,57,45,37,632,30,630,600
qbz95-1,QBZ95-1突击步枪,步枪,40472,173,22,28,55,52,55,58,54,42,679,30,575,500
qcq171,QCQ171冲锋枪,冲锋枪,121588,215,23,36,20,47,60,46,58,33,763,30,450,300
qjb201,QJB201轻机枪,轻机枪,101008,169,18,32,40,52,50,56,50,38,785,125,575,600
qsz92g,QSZ92G,手枪,0,14,4,34,27,55,64,41,77,32,375,15,400,300
r93,R93狙击步枪,狙击步枪,116397,150,16,61,150,55,57,66,28,58,56,10,550,600
rm277,RM277突击步枪,步枪,109306,192,23,41,55,48,50,59,44,42,550,30,650,500
s12k,S12K霰弹枪,霰弹枪,39267,250,23,13,10,36,55,49,48,16,300,5,300,500
scar-h,SCAR-H战斗步枪,步枪,98731,205,23,40,40,40,58,55,45,41,585,20,630,600
sg552,SG552突击步枪,步枪,0,219,24,25,35,46,61,52,53,34,906,20,575,500
sks,SKS射手步枪,精确射手步枪,43849,180,18,48,55,30,55,60,38,49,510,10,575,600
smg-45,SMG-45冲锋枪,冲锋枪,50908,193,24,35,27,52,70,41,65,40,605,25,500,300
sr-25,SR-25射手步枪,精确射手步枪,207049,218,23,50,60,56,56,59,40,55,364,10,550,600
sr-3m,SR-3M紧凑突击步枪,冲锋枪,106401,192,22,36,15,45,63,43,68,48,747,15,330,300
sr9,SR9射手步枪,精确射手步枪,10591,237,19,50,90,45,43,57,31,55,261,10,550,600
sv-98,SV-98狙击步枪,狙击步枪,0,134,13,60,150,55,49,74,26,58,44,7,650,600
svch,SVCH精确射手步枪,精确射手步枪,129004,193,22,47,65,40,42,50,35,46,600,10,680,600
svd,SVD狙击步枪,精确射手步枪,110568,248,23,56,70,42,48,67,34,56,300,10,500,600
uzi,UZI冲锋枪,冲锋枪,11724,145,16,28,20,50,68,43,66,35,780,25,450,300
vector,Vector冲锋枪,冲锋枪,240195,226,21,32,20,38,69,42,52,28,1091,17,500,300
vss,VSS射手步枪,精确射手步枪,46950,145,17,40,120,46,54,61,38,48,480,15,330,100
