武器ID,武器名称,策略ID,策略名称
ptr-32,PTR-32突击步枪,handling,操控优先
ptr-32,PTR-32突击步枪,recoil,后坐力优先
ptr-32,PTR-32突击步枪,stability,稳定优先
ptr-32,PTR-32突击步枪,balanced,综合均衡
qbz95-1,QBZ95-1突击步枪,handling,操控优先
qbz95-1,QBZ95-1突击步枪,recoil,后坐力优先
qbz95-1,QBZ95-1突击步枪,stability,稳定优先
qbz95-1,QBZ95-1突击步枪,balanced,综合均衡
qcq171,QCQ171冲锋枪,handling,操控优先
qcq171,QCQ171冲锋枪,recoil,后坐力优先
qcq171,QCQ171冲锋枪,stability,稳定优先
qcq171,QCQ171冲锋枪,balanced,综合均衡
qjb201,QJB201轻机枪,handling,操控优先
qjb201,QJB201轻机枪,recoil,后坐力优先
qjb201,QJB201轻机枪,stability,稳定优先
qjb201,QJB201轻机枪,balanced,综合均衡
qsz92g,QSZ92G,handling,操控优先
qsz92g,QSZ92G,recoil,后坐力优先
qsz92g,QSZ92G,stability,稳定优先
qsz92g,QSZ92G,balanced,综合均衡
r93,R93狙击步枪,handling,操控优先
r93,R93狙击步枪,recoil,后坐力优先
r93,R93狙击步枪,stability,稳定优先
r93,R93狙击步枪,balanced,综合均衡
rm277,RM277突击步枪,handling,操控优先
rm277,RM277突击步枪,recoil,后坐力优先
rm277,RM277突击步枪,stability,稳定优先
rm277,RM277突击步枪,balanced,综合均衡
s12k,S12K霰弹枪,handling,操控优先
s12k,S12K霰弹枪,recoil,后坐力优先
s12k,S12K霰弹枪,stability,稳定优先
s12k,S12K霰弹枪,balanced,综合均衡
scar-h,SCAR-H战斗步枪,handling,操控优先
scar-h,SCAR-H战斗步枪,recoil,后坐力优先
scar-h,SCAR-H战斗步枪,stability,稳定优先
scar-h,SCAR-H战斗步枪,balanced,综合均衡
sg552,SG552突击步枪,handling,操控优先
sg552,SG552突击步枪,recoil,后坐力优先
sg552,SG552突击步枪,stability,稳定优先
sg552,SG552突击步枪,balanced,综合均衡
sks,SKS射手步枪,handling,操控优先
sks,SKS射手步枪,recoil,后坐力优先
sks,SKS射手步枪,stability,稳定优先
sks,SKS射手步枪,balanced,综合均衡
smg-45,SMG-45冲锋枪,handling,操控优先
smg-45,SMG-45冲锋枪,recoil,后坐力优先
smg-45,SMG-45冲锋枪,stability,稳定优先
smg-45,SMG-45冲锋枪,balanced,综合均衡
sr-25,SR-25射手步枪,handling,操控优先
sr-25,SR-25射手步枪,recoil,后坐力优先
sr-25,SR-25射手步枪,stability,稳定优先
sr-25,SR-25射手步枪,balanced,综合均衡
sr-3m,SR-3M紧凑突击步枪,handling,操控优先
sr-3m,SR-3M紧凑突击步枪,recoil,后坐力优先
sr-3m,SR-3M紧凑突击步枪,stability,稳定优先
sr-3m,SR-3M紧凑突击步枪,balanced,综合均衡
sr9,SR9射手步枪,handling,操控优先
sr9,SR9射手步枪,recoil,后坐力优先
sr9,SR9射手步枪,stability,稳定优先
sr9,SR9射手步枪,balanced,综合均衡
sv-98,SV-98狙击步枪,handling,操控优先
sv-98,SV-98狙击步枪,recoil,后坐力优先
sv-98,SV-98狙击步枪,stability,稳定优先
sv-98,SV-98狙击步枪,balanced,综合均衡
svch,SVCH精确射手步枪,handling,操控优先
svch,SVCH精确射手步枪,recoil,后坐力优先
svch,SVCH精确射手步枪,stability,稳定优先
svch,SVCH精确射手步枪,balanced,综合均衡
svd,SVD狙击步枪,handling,操控优先
svd,SVD狙击步枪,recoil,后坐力优先
svd,SVD狙击步枪,stability,稳定优先
svd,SVD狙击步枪,balanced,综合均衡
uzi,UZI冲锋枪,handling,操控优先
uzi,UZI冲锋枪,recoil,后坐力优先
uzi,UZI冲锋枪,stability,稳定优先
uzi,UZI冲锋枪,balanced,综合均衡
vector,Vector冲锋枪,handling,操控优先
vector,Vector冲锋枪,recoil,后坐力优先
vector,Vector冲锋枪,stability,稳定优先
vector,Vector冲锋枪,balanced,综合均衡
vss,VSS射手步枪,handling,操控优先
vss,VSS射手步枪,recoil,后坐力优先
vss,VSS射手步枪,stability,稳定优先
vss,VSS射手步枪,balanced,综合均衡
