图片名,分类,图片URL
步枪-K416突击步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-K416%E7%AA%81%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-K437突击步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-K437%E7%AA%81%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-KC17突击步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-KC17%E7%AA%81%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-M16A4突击步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-M16A4%E7%AA%81%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-M4A1突击步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-M4A1%E7%AA%81%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-M７战斗步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-M%EF%BC%97%E6%88%98%E6%96%97%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-MCXLT突击步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-MCXLT%E7%AA%81%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-MK47突击步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-MK47%E7%AA%81%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-PTR-32突击步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-PTR-32%E7%AA%81%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-QBZ95-1突击步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-QBZ95-1%E7%AA%81%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-RM277突击步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-RM277%E7%AA%81%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-SCAR-H战斗步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-SCAR-H%E6%88%98%E6%96%97%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-SG552突击步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-SG552%E7%AA%81%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
冲锋枪-野牛冲锋枪,冲锋枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E5%86%B2%E9%94%8B%E6%9E%AA/%E5%86%B2%E9%94%8B%E6%9E%AA-%E9%87%8E%E7%89%9B%E5%86%B2%E9%94%8B%E6%9E%AA-removebg-preview.png
冲锋枪-勇士冲锋枪,冲锋枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E5%86%B2%E9%94%8B%E6%9E%AA/%E5%86%B2%E9%94%8B%E6%9E%AA-%E5%8B%87%E5%A3%AB%E5%86%B2%E9%94%8B%E6%9E%AA-removebg-preview.png
冲锋枪-MK4冲锋枪,冲锋枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E5%86%B2%E9%94%8B%E6%9E%AA/%E5%86%B2%E9%94%8B%E6%9E%AA-MK4%E5%86%B2%E9%94%8B%E6%9E%AA-removebg-preview.png
冲锋枪-MP5冲锋枪,冲锋枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E5%86%B2%E9%94%8B%E6%9E%AA/%E5%86%B2%E9%94%8B%E6%9E%AA-MP5%E5%86%B2%E9%94%8B%E6%9E%AA-removebg-preview.png
冲锋枪-MP7冲锋枪,冲锋枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E5%86%B2%E9%94%8B%E6%9E%AA/%E5%86%B2%E9%94%8B%E6%9E%AA-MP7%E5%86%B2%E9%94%8B%E6%9E%AA-removebg-preview.png
冲锋枪-P90冲锋枪,冲锋枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E5%86%B2%E9%94%8B%E6%9E%AA/%E5%86%B2%E9%94%8B%E6%9E%AA-P90%E5%86%B2%E9%94%8B%E6%9E%AA-removebg-preview.png
冲锋枪-QCQ171冲锋枪,冲锋枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E5%86%B2%E9%94%8B%E6%9E%AA/%E5%86%B2%E9%94%8B%E6%9E%AA-QCQ171%E5%86%B2%E9%94%8B%E6%9E%AA-removebg-preview.png
冲锋枪-SMG-45冲锋枪,冲锋枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E5%86%B2%E9%94%8B%E6%9E%AA/%E5%86%B2%E9%94%8B%E6%9E%AA-SMG-45%E5%86%B2%E9%94%8B%E6%9E%AA-removebg-preview.png
冲锋枪-SR-3M紧凑突击步枪,冲锋枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E5%86%B2%E9%94%8B%E6%9E%AA/%E5%86%B2%E9%94%8B%E6%9E%AA-SR-3M%E7%B4%A7%E5%87%91%E7%AA%81%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
冲锋枪-UZI冲锋枪,冲锋枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E5%86%B2%E9%94%8B%E6%9E%AA/%E5%86%B2%E9%94%8B%E6%9E%AA-UZI%E5%86%B2%E9%94%8B%E6%9E%AA-removebg-preview.png
冲锋枪-Vector冲锋枪,冲锋枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E5%86%B2%E9%94%8B%E6%9E%AA/%E5%86%B2%E9%94%8B%E6%9E%AA-Vector%E5%86%B2%E9%94%8B%E6%9E%AA-removebg-preview.png
精确射手步枪-杠杆式步枪,精准射手步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E7%B2%BE%E5%87%86%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA/%E7%B2%BE%E7%A1%AE%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA-%E6%9D%A0%E6%9D%86%E5%BC%8F%E6%AD%A5%E6%9E%AA-removebg-preview.png
精确射手步枪-M14射手步枪,精准射手步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E7%B2%BE%E5%87%86%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA/%E7%B2%BE%E7%A1%AE%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA-M14%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA-removebg-preview.png
精确射手步枪-Mini-14射手步枪,精准射手步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E7%B2%BE%E5%87%86%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA/%E7%B2%BE%E7%A1%AE%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA-Mini-14%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA-removebg-preview.png
精确射手步枪-PSG-1射手步枪,精准射手步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E7%B2%BE%E5%87%86%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA/%E7%B2%BE%E7%A1%AE%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA-PSG-1%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA-removebg-preview.png
精确射手步枪-SKS射手步枪,精准射手步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E7%B2%BE%E5%87%86%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA/%E7%B2%BE%E7%A1%AE%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA-SKS%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA-removebg-preview.png
精确射手步枪-SR-25射手步枪,精准射手步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E7%B2%BE%E5%87%86%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA/%E7%B2%BE%E7%A1%AE%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA-SR-25%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA-removebg-preview.png
精确射手步枪-SR9射手步枪,精准射手步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E7%B2%BE%E5%87%86%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA/%E7%B2%BE%E7%A1%AE%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA-SR9%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA-removebg-preview.png
精确射手步枪-SVCH精确射手步枪,精准射手步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E7%B2%BE%E5%87%86%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA/%E7%B2%BE%E7%A1%AE%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA-SVCH%E7%B2%BE%E7%A1%AE%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA-removebg-preview.png
精确射手步枪-SVD狙击步枪,精准射手步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E7%B2%BE%E5%87%86%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA/%E7%B2%BE%E7%A1%AE%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA-SVD%E7%8B%99%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
精确射手步枪-VSS射手步枪,精准射手步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E7%B2%BE%E5%87%86%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA/%E7%B2%BE%E7%A1%AE%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA-VSS%E5%B0%84%E6%89%8B%E6%AD%A5%E6%9E%AA-removebg-preview.png
狙击步枪-AWM狙击步枪,狙击枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E7%8B%99%E5%87%BB%E6%9E%AA/%E7%8B%99%E5%87%BB%E6%AD%A5%E6%9E%AA-AWM%E7%8B%99%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
狙击步枪-M700狙击步枪,狙击枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E7%8B%99%E5%87%BB%E6%9E%AA/%E7%8B%99%E5%87%BB%E6%AD%A5%E6%9E%AA-M700%E7%8B%99%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
狙击步枪-M82狙击步枪,狙击枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E7%8B%99%E5%87%BB%E6%9E%AA/%E7%8B%99%E5%87%BB%E6%AD%A5%E6%9E%AA-M82%E7%8B%99%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
狙击步枪-R93狙击步枪,狙击枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E7%8B%99%E5%87%BB%E6%9E%AA/%E7%8B%99%E5%87%BB%E6%AD%A5%E6%9E%AA-R93%E7%8B%99%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
狙击步枪-SV-98狙击步枪,狙击枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E7%8B%99%E5%87%BB%E6%9E%AA/%E7%8B%99%E5%87%BB%E6%AD%A5%E6%9E%AA-SV-98%E7%8B%99%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
轻机枪-M249轻机枪,轻机枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E8%BD%BB%E6%9C%BA%E6%9E%AA/%E8%BD%BB%E6%9C%BA%E6%9E%AA-M249%E8%BD%BB%E6%9C%BA%E6%9E%AA-removebg-preview.png
轻机枪-M250通用机枪,轻机枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E8%BD%BB%E6%9C%BA%E6%9E%AA/%E8%BD%BB%E6%9C%BA%E6%9E%AA-M250%E9%80%9A%E7%94%A8%E6%9C%BA%E6%9E%AA-removebg-preview.png
轻机枪-PKM通用机枪,轻机枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E8%BD%BB%E6%9C%BA%E6%9E%AA/%E8%BD%BB%E6%9C%BA%E6%9E%AA-PKM%E9%80%9A%E7%94%A8%E6%9C%BA%E6%9E%AA-removebg-preview.png
轻机枪-QJB201轻机枪,轻机枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E8%BD%BB%E6%9C%BA%E6%9E%AA/%E8%BD%BB%E6%9C%BA%E6%9E%AA-QJB201%E8%BD%BB%E6%9C%BA%E6%9E%AA-removebg-preview.png
手枪-357左轮,手枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%89%8B%E6%9E%AA/%E6%89%8B%E6%9E%AA-357%E5%B7%A6%E8%BD%AE-removebg-preview.png
手枪-93R,手枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%89%8B%E6%9E%AA/%E6%89%8B%E6%9E%AA-93R-removebg-preview.png
手枪-沙漠之鹰,手枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%89%8B%E6%9E%AA/%E6%89%8B%E6%9E%AA-%E6%B2%99%E6%BC%A0%E4%B9%8B%E9%B9%B0-removebg-preview.png
手枪-G17,手枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%89%8B%E6%9E%AA/%E6%89%8B%E6%9E%AA-G17-removebg-preview.png
手枪-G18,手枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%89%8B%E6%9E%AA/%E6%89%8B%E6%9E%AA-G18-removebg-preview.png
手枪-M1911,手枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%89%8B%E6%9E%AA/%E6%89%8B%E6%9E%AA-M1911-removebg-preview.png
手枪-QSZ92G,手枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%89%8B%E6%9E%AA/%E6%89%8B%E6%9E%AA-QSZ92G-removebg-preview.png
特殊武器-复合弓.png,特殊武器,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E7%89%B9%E6%AE%8A%E6%AD%A6%E5%99%A8/%E7%89%B9%E6%AE%8A%E6%AD%A6%E5%99%A8-%E5%A4%8D%E5%90%88%E5%BC%93.png
霰弹枪-725双管霰弹枪,霰弹枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E9%9C%B0%E5%BC%B9%E6%9E%AA/%E9%9C%B0%E5%BC%B9%E6%9E%AA-725%E5%8F%8C%E7%AE%A1%E9%9C%B0%E5%BC%B9%E6%9E%AA-removebg-preview.png
霰弹枪-FS-12霰弹枪,霰弹枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E9%9C%B0%E5%BC%B9%E6%9E%AA/%E9%9C%B0%E5%BC%B9%E6%9E%AA-FS-12%E9%9C%B0%E5%BC%B9%E6%9E%AA-removebg-preview.png
霰弹枪-M1014霰弹枪,霰弹枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E9%9C%B0%E5%BC%B9%E6%9E%AA/%E9%9C%B0%E5%BC%B9%E6%9E%AA-M1014%E9%9C%B0%E5%BC%B9%E6%9E%AA-removebg-preview.png
霰弹枪-M870霰弹枪,霰弹枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E9%9C%B0%E5%BC%B9%E6%9E%AA/%E9%9C%B0%E5%BC%B9%E6%9E%AA-M870%E9%9C%B0%E5%BC%B9%E6%9E%AA-removebg-preview.png
霰弹枪-S12K霰弹枪,霰弹枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E9%9C%B0%E5%BC%B9%E6%9E%AA/%E9%9C%B0%E5%BC%B9%E6%9E%AA-S12K%E9%9C%B0%E5%BC%B9%E6%9E%AA-removebg-preview.png
725.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/725.png
复合弓.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/%E5%A4%8D%E5%90%88%E5%BC%93.png
沙漠之鹰.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/%E6%B2%99%E6%BC%A0%E4%B9%8B%E9%B9%B0.png
野牛冲锋枪.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/%E9%87%8E%E7%89%9B%E5%86%B2%E9%94%8B%E6%9E%AA.png
ash-12.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/ash-12.png
asval.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/asval.png
compound-bow.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/compound-bow.png
fs-12.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/fs-12.png
g18.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/g18.png
m1014.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/m1014.png
m870.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/m870.png
mk4.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/mk4.png
mp5.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/mp5.png
mp7.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/mp7.png
p90.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/p90.png
qcq171.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/qcq171.png
smg-45.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/smg-45.png
sr-3m.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/sr-3m.png
sv-98.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/sv-98.png
uzi.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/uzi.png
vector.png,,https://hpromax.top/static/assets/ui-cutouts/weapons/vector.png
